순번,성별,장애유형,사업장명,수료상태,인턴기간,전환여부
340,남,지체장애,성안주식회사(세탁),중도탈락,2020-05-25~2020-11-24,N
341,남,신장장애,우성요양병원,수료,2020-05-25~2020-07-24,Y
342,남,자폐성장애,주식회사제주마미,수료,2020-05-25~2020-11-24,N
343,남,뇌병변장애,좋은운동장,수료,2020-05-25~2020-11-24,N
344,남,지체장애,한샘어패럴,중도탈락,2020-05-25~2020-11-24,N
345,남,지체장애,아임삭,중도탈락,2020-05-24~2020-08-23,N
346,남,뇌병변장애,청운산업,,2020-05-22~2020-07-31,
347,남,정신장애,척수장애인자립생활센터,조기수료,2020-05-21~2020-11-20,Y
348,여,지체장애,대전동산고등학교,수료,2020-05-20~2020-11-19,Y
349,남,청각장애,노지실업,중도탈락,2020-05-19~2020-08-18,N
350,여,시각장애,서원요양병원,수료,2020-05-19~2020-07-18,Y
351,여,정신장애,동원산업,수료,2020-05-19~2020-11-18,N
352,남,정신장애,한선트레이딩(주),중도탈락,2020-05-19~2020-11-18,N
353,남,정신장애,다나연세의원,수료,2020-05-18~2020-11-17,N
354,남,뇌병변장애,은수포장,중도탈락,2020-05-18~2020-11-17,N
355,여,신장장애,(주)비와이엔블랙야크,수료,2020-05-14~2020-11-13,Y
356,여,청각장애,밝은세상안마원대명역점,조기수료,2020-05-14~2020-11-13,Y
357,여,지체장애,(합)대한상사 해피크린,조기수료,2020-05-11~2020-11-10,Y
358,남,지체장애,전남대학교 산학협력단,수료,2020-05-11~2020-08-10,N
359,남,정신장애,전남대학교 산학협력단,수료,2020-05-11~2020-08-10,N
360,여,정신장애,예쁜마을사회적협동조합,수료,2020-05-11~2020-11-10,Y
361,여,시각장애,(주)오네스토펫푸드,수료,2020-05-11~2020-06-10,N
362,남,지체장애,(주)일이축산푸드,중도탈락,2020-05-11~2020-08-10,N
363,남,정신장애,예쁜마을사회적협동조합,수료,2020-05-11~2020-11-10,Y
364,남,정신장애,예쁜마을사회적협동조합,수료,2020-05-11~2020-11-10,Y
365,남,지체장애,주)대영,조기수료,2020-05-11~2020-08-10,Y
366,남,정신장애,전남대학교 산학협력단,수료,2020-05-11~2020-08-10,N
367,여,정신장애,주식회사건강카페,수료,2020-05-08~2020-11-07,Y
368,남,지체장애,(주)효성조명,조기수료,2020-05-07~2020-08-06,Y
369,남,지체장애,(주)효성조명,조기수료,2020-05-07~2020-08-06,Y
370,남,청각장애,(주)효성조명,조기수료,2020-05-07~2020-08-06,Y
371,남,시각장애,휴앤케어안마원,조기수료,2020-05-07~2020-11-06,Y
372,남,신장장애,(주)효성조명,조기수료,2020-05-07~2020-08-06,Y
373,남,언어장애,(주)효성조명,조기수료,2020-05-07~2020-08-06,Y
374,남,뇌병변장애,(주)효성조명,조기수료,2020-05-07~2020-08-06,Y
375,남,시각장애,(주)효성조명,조기수료,2020-05-07~2020-08-06,Y
376,여,정신장애,(주)오네스토펫푸드,중도탈락,2020-05-06~2020-06-05,N
377,남,자폐성장애,(주)에이치아이티에스손해사정,중도탈락,2020-05-06~2020-08-05,N
378,여,지체장애,주식회사 주노물산,중도탈락,2020-05-06~2020-06-05,N
379,남,신장장애,(주)케이티씨에스 호남운영본부,수료,2020-05-06~2020-07-05,N
380,남,심장장애,주)대영,중도탈락,2020-05-06~2020-08-05,N
381,남,시각장애,(주)건웅,수료,2020-05-06~2020-11-05,Y
382,남,정신장애,의료법인 빛고을의료재단,조기수료,2020-05-06~2020-08-05,Y
383,남,정신장애,일광영농조합법인,조기수료,2020-05-04~2020-11-03,Y
384,남,자폐성장애,엘피스,수료,2020-05-04~2020-11-03,Y
385,남,자폐성장애,엘피스,수료,2020-05-04~2020-11-03,N
386,여,정신장애,일광영농조합법인,조기수료,2020-05-04~2020-11-03,Y
387,남,호흡기장애,(주)성현산업,수료,2020-05-04~2020-11-03,Y
388,남,정신장애,주식회사 울타리,조기수료,2020-05-01~2020-07-31,Y
389,여,뇌병변장애,김천요리제과직업전문학교,조기수료,2020-05-01~2020-10-31,Y
390,남,뇌병변장애,실버벨요양보호사교육원,수료,2020-05-01~2020-06-30,Y
391,남,시각장애,약손119안마원,조기수료,2020-05-01~2020-10-31,Y
392,여,지체장애,일일디지털인쇄,조기수료,2020-05-01~2020-10-31,Y
393,남,정신장애,(주)모두누리,조기수료,2020-05-01~2020-10-31,Y
394,남,뇌병변장애,주식회사 울타리,조기수료,2020-05-01~2020-07-31,Y
395,남,청각장애,에스에스모빌리티(주),조기수료,2020-05-01~2020-10-31,Y
396,남,신장장애,일일디지털인쇄,조기수료,2020-05-01~2020-10-31,Y
397,여,정신장애,주식회사 울타리,조기수료,2020-05-01~2020-07-31,Y
398,남,자폐성장애,주식회사 울타리,조기수료,2020-05-01~2020-07-31,Y
399,여,지체장애,(주)동원에프앤비 대구영업소,조기수료,2020-05-01~2020-10-31,Y
400,남,신장장애,엘티스(주),조기수료,2020-04-30~2020-10-29,Y
401,여,청각장애,엘티스(주),조기수료,2020-04-30~2020-10-29,Y
402,여,정신장애,(주)이랜드리테일,중도탈락,2020-04-29~2020-10-28,N
403,남,정신장애,(주)이랜드리테일,수료,2020-04-29~2020-10-28,Y
404,여,정신장애,(주)이랜드리테일,수료,2020-04-29~2020-10-28,N
405,남,정신장애,(주)이랜드리테일,수료,2020-04-29~2020-10-28,Y
406,여,정신장애,(주)이랜드리테일,수료,2020-04-29~2020-10-28,Y
407,남,정신장애,(주)이랜드리테일,수료,2020-04-29~2020-10-28,Y
408,남,자폐성장애,(주)이랜드리테일,수료,2020-04-29~2020-10-28,Y
409,남,정신장애,(주)이랜드리테일,수료,2020-04-29~2020-10-28,Y
410,남,정신장애,(주)이랜드리테일,중도탈락,2020-04-29~2020-10-28,N
411,남,지체장애,한국동그라미파트너스,수료,2020-04-27~2020-07-26,N
412,남,신장장애,한국세라프,수료,2020-04-27~2020-07-26,Y
413,남,신장장애,한국동그라미파트너스,수료,2020-04-27~2020-07-26,N
414,남,지체장애,다우리병원,수료,2020-04-22~2020-10-21,Y
415,남,자폐성장애,(주)신성피엔텍,수료,2020-04-21~2020-06-20,N
416,여,정신장애,목포성심요양병원,중도탈락,2020-04-21~2020-07-20,N
417,남,뇌병변장애,성안주식회사,수료,2020-04-20~2020-10-19,Y
418,남,정신장애,사단법인 대한민국공무원 공상유공자회(인쇄사업부),조기수료,2020-04-20~2020-10-19,Y
419,남,지체장애,주식회사 울타리,조기수료,2020-04-20~2020-07-19,Y
420,남,지체장애,대호기계공업(주),조기수료,2020-04-20~2020-09-30,Y
421,남,정신장애,와디즈(주),수료,2020-04-20~2020-10-19,N
422,여,정신장애,와디즈(주),수료,2020-04-20~2020-10-19,N
423,남,청각장애,성안주식회사,수료,2020-04-20~2020-10-19,N
424,남,시각장애,의료법인녹십자의료재단,수료,2020-04-20~2020-07-31,N
425,남,정신장애,광주북구장애인직업재활센터 이룸카페,중도탈락,2020-04-13~2020-07-12,N
426,남,신장장애,(주)상록골프앤리조트,수료,2020-04-13~2020-10-12,Y
427,남,청각장애,(주)성경기업마트,수료,2020-04-13~2020-07-12,Y
428,남,지체장애,월드무역,중도탈락,2020-04-13~2020-07-12,N
429,남,국가유공,(주)이노렉스테크놀러지,수료,2020-04-10~2020-10-09,Y
430,여,정신장애,하늘땅영농조합법인,조기수료,2020-04-10~2020-10-09,Y
431,남,자폐성장애,한신기업주식회사,조기수료,2020-04-09~2020-10-08,Y
432,여,지체장애,(주)엘림테크,수료,2020-04-08~2020-05-07,Y
433,남,지체장애,주식회사 케이티희망지음,수료,2020-04-07~2020-06-07,Y
434,남,신장장애,(주)청우비제이,수료,2020-04-07~2020-10-06,Y
435,남,지체장애,꿈틀 협동조합,수료,2020-04-07~2020-06-07,Y
436,여,정신장애,(사)한국장애인문화협회 인쇄사업본부,수료,2020-04-06~2020-06-30,Y
437,남,정신장애,에이치디에스(주),중도탈락,2020-04-02~2020-10-01,N
438,여,정신장애,만세365병원,수료,2020-04-01~2020-09-30,N
439,남,시각장애,나은힐링안마센터,조기수료,2020-04-01~2020-06-30,Y
440,남,정신장애,(합)대한상사 해피크린,중도탈락,2020-04-01~2020-07-31,N
441,남,지체장애,크린필터 주식회사,수료,2020-04-01~2020-09-30,Y
442,여,정신장애,(사)한국장애인사진콘텐츠협회 인쇄사업본부,수료,2020-04-01~2020-09-30,Y
443,여,지체장애,더 바디 테라피,조기수료,2020-04-01~2020-09-30,Y
444,여,뇌병변장애,(주)현대백화점대구점,수료,2020-04-01~2020-05-31,Y
445,남,자폐성장애,(주)레드스톤시스템,조기수료,2020-04-01~2020-09-30,Y
446,남,자폐성장애,(주)레드스톤시스템,조기수료,2020-04-01~2020-09-30,Y
447,남,청각장애,우주물산,수료,2020-04-01~2020-06-30,N
448,남,지체장애,(주)아트림,수료,2020-04-01~2020-09-30,Y
449,남,지체장애,자화전자(주),수료,2020-04-01~2020-09-30,N
450,여,지체장애,필승어린이집,조기수료,2020-04-01~2020-09-30,Y
451,남,정신장애,척수장애인자립생활센터,중도탈락,2020-04-01~2020-09-30,N
452,남,정신장애,엠에스인더스트리,중도탈락,2020-04-01~2020-09-30,N
453,남,정신장애,주식회사 벗이(Versi),수료,2020-04-01~2020-06-30,Y
454,남,지체장애,자화전자(주),수료,2020-04-01~2020-09-30,N
455,남,청각장애,금강화학,조기수료,2020-04-01~2020-09-30,Y
456,여,정신장애,만세365병원,수료,2020-04-01~2020-09-30,N
457,남,정신장애,공생가 사회적협동조합,수료,2020-04-01~2020-09-30,N
458,남,자폐성장애,(주)레드스톤시스템,조기수료,2020-04-01~2020-09-30,Y
459,남,지적장애,(주)현대페이퍼,수료,2020-04-01~2020-09-30,N
460,남,지체장애,태봉정밀,조기수료,2020-04-01~2020-09-30,Y
461,남,정신장애,(합)대한상사 해피크린,중도탈락,2020-04-01~2020-07-31,N
462,남,자폐성장애,(주)아트림,수료,2020-04-01~2020-09-30,Y
463,남,청각장애,에스에스모빌리티(주),조기수료,2020-03-31~2020-09-29,Y
464,남,청각장애,에스에스모빌리티(주),수료,2020-03-31~2020-09-29,N
465,남,청각장애,에스에스모빌리티(주),조기수료,2020-03-31~2020-09-29,Y
466,남,뇌병변장애,에스에스모빌리티(주),조기수료,2020-03-31~2020-09-29,Y
467,남,청각장애,에스에스모빌리티(주),조기수료,2020-03-31~2020-09-29,Y
468,남,지체장애,에스에스모빌리티(주),수료,2020-03-31~2020-09-29,N
469,남,청각장애,에스에스모빌리티(주),수료,2020-03-31~2020-09-29,N
470,남,정신장애,에스에스모빌리티(주),조기수료,2020-03-31~2020-09-29,Y
471,남,지체장애,청주삼성요양병원,수료,2020-03-30~2020-04-29,Y
472,남,지체장애,(주)반찬단지,중도탈락,2020-03-23~2020-06-22,N
473,남,정신장애,대동병원,조기수료,2020-03-23~2020-09-22,Y
474,남,지체장애,(사)한국장애인문화협회 인쇄사업본부,수료,2020-03-23~2020-05-31,Y
475,남,지체장애,(주)반찬단지,수료,2020-03-23~2020-06-22,Y
476,남,뇌병변장애,농업회사법인(주)횡성맑,,2020-03-23~2020-06-22,
477,남,지체장애,(주)경서,조기수료,2020-03-23~2020-09-22,Y
478,여,정신장애,창신이앤피주식회사,조기수료,2020-03-23~2020-09-22,Y
479,남,정신장애,대동병원,조기수료,2020-03-23~2020-09-22,Y
480,남,청각장애,(주)인성메디칼,수료,2020-03-17~2020-09-16,N
481,여,지체장애,일진머티리얼즈(주),조기수료,2020-03-17~2020-08-31,Y
482,남,뇌병변장애,크린필터 주식회사,수료,2020-03-16~2020-09-15,Y
483,남,지체장애,크린필터 주식회사,수료,2020-03-16~2020-09-15,Y
484,남,뇌병변장애,의료법인디딤의료재단 우리요양병원,수료,2020-03-16~2020-08-31,N
485,남,뇌병변장애,미들채푸드농업회사법인,수료,2020-03-16~2020-04-30,Y
486,남,신장장애,(주)바이오톡스텍,수료,2020-03-16~2020-04-15,Y
487,여,정신장애,우주물산,중도탈락,2020-03-16~2020-06-15,N
488,남,자폐성장애,미들채푸드농업회사법인,수료,2020-03-16~2020-04-30,Y
489,남,정신장애,우주물산,수료,2020-03-16~2020-06-15,Y
490,여,지체장애,(주)캠프리본,수료,2020-03-16~2020-06-15,Y
491,남,지체장애,(주)다우,중도탈락,2020-03-16~2020-08-15,N
492,여,정신장애,크린필터 주식회사,수료,2020-03-16~2020-09-15,Y
493,남,지체장애,크린필터 주식회사,수료,2020-03-16~2020-09-15,Y
494,남,지체장애,크린필터 주식회사,조기수료,2020-03-16~2020-09-15,Y
495,남,지체장애,광주병원,조기수료,2020-03-13~2020-06-12,Y
496,남,지체장애,(주)서울에프엔비,중도탈락,2020-03-13~2020-09-12,N
497,여,호흡기장애,창신이앤피주식회사,수료,2020-03-12~2020-09-11,Y
498,여,정신장애,창신이앤피주식회사,수료,2020-03-12~2020-09-11,Y
499,남,정신장애,경상북도립안동노인전문요양병원,조기수료,2020-03-12~2020-06-11,Y
500,여,정신장애,농업회사법인 하늘땅(주),조기수료,2020-03-11~2020-09-10,Y
501,여,신장장애,(주)하랑커뮤니티,수료,2020-03-11~2020-09-10,Y
502,여,정신장애,농업회사법인 하늘땅(주),조기수료,2020-03-11~2020-09-10,Y
503,남,정신장애,(주)엠텍정보,조기수료,2020-03-11~2020-09-10,Y
504,남,정신장애,(주)하랑커뮤니티,조기수료,2020-03-11~2020-09-10,Y
505,여,지체장애,에스웰요양병원,수료,2020-03-10~2020-06-09,Y
506,남,정신장애,성안주식회사(세탁),중도탈락,2020-03-10~2020-09-09,N
507,여,정신장애,주식회사 벗이(Versi),조기수료,2020-03-09~2020-09-08,Y
508,남,정신장애,주식회사 벗이(Versi),조기수료,2020-03-09~2020-09-08,Y
509,여,뇌병변장애,큰나무미래어린이집,조기수료,2020-03-09~2020-09-08,Y
510,남,청각장애,(주)세양침대,조기수료,2020-03-09~2020-09-08,Y
511,남,지체장애,금강화학,중도탈락,2020-03-09~2020-09-08,N
512,여,지체장애,농업회사법인 시흥표고(주),수료,2020-03-09~2020-06-08,Y
513,남,정신장애,금강화학,조기수료,2020-03-09~2020-09-08,Y
514,여,신장장애,(사)한국신장장애인협회충북협회,수료,2020-03-09~2020-09-08,Y
515,여,지체장애,농업회사법인 시흥표고(주),수료,2020-03-09~2020-06-08,N
516,여,신장장애,효드림요양병원,수료,2020-03-09~2020-06-08,Y
517,남,언어장애,일진머티리얼즈(주),조기수료,2020-03-09~2020-08-31,Y
518,여,지체장애,대전대성여자고등학교,수료,2020-03-09~2020-09-08,Y
519,여,청각장애,뉴광크린텍(주),조기수료,2020-03-09~2020-09-08,Y
520,남,뇌병변장애,익산수재활요양병원,수료,2020-03-09~2020-08-31,Y
521,여,지체장애,일산 에버나인 어린이집,조기수료,2020-03-09~2020-09-08,Y
522,남,자폐성장애,정풍기업,중도탈락,2020-03-05~2020-09-04,N
523,남,시각장애,(주)연호엠에스,수료,2020-03-05~2020-09-04,Y
524,남,자폐성장애,(주)이지피에스,수료,2020-03-05~2020-09-04,Y
525,남,정신장애,(주) 춤추는북카페,중도탈락,2020-03-04~2020-09-03,N
526,남,지체장애,한국교통장애인협회완주군지회,수료,2020-03-02~2020-05-31,Y
527,남,지체장애,(주)서울에프엔비,중도탈락,2020-03-02~2020-08-31,N
528,남,정신장애,주식회사 벗이(Versi),수료,2020-03-02~2020-08-31,Y
529,여,지체장애,대전대성여자고등학교,중도탈락,2020-03-02~2020-09-01,N
530,남,청각장애,럽포협동조합,수료,2020-03-02~2020-08-31,N
531,남,시각장애,한빛의료소비자생활협동조합 행복나라요양병원,수료,2020-03-02~2020-06-30,N
532,남,뇌병변장애,한국교통장애인협회완주군지회,,2020-03-02~2020-08-31,
533,남,정신장애,(사)한국장애인문화협회 인쇄사업본부,,2020-03-02~2020-05-31,
534,남,정신장애,주식회사 벗이(Versi),중도탈락,2020-03-02~2020-08-31,N
535,여,지적장애,대전대성중학교,수료,2020-03-01~2020-08-31,N
536,남,자폐성장애,드림위드앙상블,수료,2020-03-01~2020-08-31,Y
537,여,정신장애,(주)향기내는 사람들 히즈빈스 성수점,수료,2020-03-01~2020-08-31,Y
538,여,지체장애,성안주식회사,중도탈락,2020-03-01~2020-08-31,N
539,남,정신장애,종로행복일굼터,조기수료,2020-03-01~2020-08-31,Y
540,여,청각장애,대전대성여자중학교,수료,2020-03-01~2020-08-31,Y
541,여,지체장애,호서고등학교,수료,2020-03-01~2020-08-31,Y
542,여,뇌병변장애,대전동산고등학교,중도탈락,2020-03-01~2020-08-31,N
543,여,지체장애,대전동산고등학교,수료,2020-03-01~2020-08-31,Y
544,여,장루요루장애,대전대성여자고등학교,수료,2020-03-01~2020-08-31,Y
545,남,간장애,영남요양병원,조기수료,2020-03-01~2020-08-31,Y
546,남,자폐성장애,드림위드앙상블,수료,2020-03-01~2020-08-31,Y
547,남,호흡기장애,갓푸드농업회사법인 주식회사,중도탈락,2020-03-01~2020-08-31,N
548,여,지체장애,학교법인 대성학원,수료,2020-03-01~2020-08-31,Y
549,남,정신장애,에스에스모빌리티,중도탈락,2020-03-01~2020-08-31,N
550,여,정신장애,(주)향기내는 사람들 히즈빈스 성수점,조기수료,2020-03-01~2020-08-31,Y
551,남,정신장애,종로행복일굼터,조기수료,2020-03-01~2020-08-31,Y
552,여,지체장애,학교법인 대성학원,수료,2020-03-01~2020-08-31,Y
553,여,지체장애,대전동산고등학교,수료,2020-03-01~2020-08-31,Y
554,여,지체장애,(주)케이에이씨,중도탈락,2020-02-25~2020-08-24,N
555,여,지체장애,의료법인 원광아리울의료재단 군산원광효도요양병원,,2020-02-25~2020-08-24,
556,남,시각장애,손안마원,수료,2020-02-20~2020-05-19,Y
557,남,지체장애,(사)한국장애인문화협회 인쇄사업본부,중도탈락,2020-02-18~2020-04-30,N
558,남,지체장애,(사)국민장애인복지협의회,조기수료,2020-02-17~2020-08-14,Y
559,여,뇌병변장애,주식회사 명천,수료,2020-02-13~2020-08-12,Y
560,남,지적장애,의료법인인산의료재단 마음사랑병원,수료,2020-02-13~2020-07-31,Y
561,남,정신장애,(주)케이아이엔엑스,수료,2020-02-11~2020-08-10,Y
562,남,시각장애,라파지압원,조기수료,2020-02-11~2020-08-10,Y
563,여,뇌병변장애,(주)이지피에스,수료,2020-02-10~2020-08-09,Y
564,남,자폐성장애,정다운요양병원,수료,2020-02-10~2020-08-09,Y
565,남,정신장애,사단법인 대한민국공무원 공상유공자회(인쇄사업부),중도탈락,2020-02-10~2020-08-09,N
566,여,뇌병변장애,푸른양산장애인자립생활센터,수료,2020-02-10~2020-08-09,Y
567,남,정신장애,종로행복일굼터,중도탈락,2020-02-07~2020-08-06,N
568,남,정신장애,종로행복일굼터,중도탈락,2020-02-07~2020-08-06,N
569,남,정신장애,종로행복일굼터,조기수료,2020-02-07~2020-08-06,Y
570,남,뇌병변장애,(주)디에이치이,수료,2020-02-05~2020-05-04,Y
571,남,지체장애,주식회사 케이티희망지음,조기수료,2020-02-04~2020-07-03,Y
572,남,정신장애,성안주식회사,중도탈락,2020-02-03~2020-07-31,N
573,남,정신장애,성안주식회사,수료,2020-02-03~2020-07-31,N
574,여,정신장애,(주) 춤추는북카페,중도탈락,2020-02-03~2020-08-02,N
575,여,시각장애,(사)대한안마사협회 대구지부,조기수료,2020-02-01~2020-07-31,Y
576,여,정신장애,(주)케이디텍,조기수료,2020-02-01~2020-07-31,Y
577,남,뇌병변장애,제주DPI,수료,2020-02-01~2020-07-31,Y
578,남,자폐성장애,주식회사 아이앤지캠퍼스,조기수료,2020-02-01~2020-07-31,Y
579,남,정신장애,HM테크,조기수료,2020-02-01~2020-07-31,Y
580,여,정신장애,(주)케이디텍,조기수료,2020-02-01~2020-07-31,Y
581,남,정신장애,에스에스오토서비스,조기수료,2020-01-31~2020-07-30,Y
582,남,시각장애,건강지킴이안마원,수료,2020-01-31~2020-07-30,Y
583,여,시각장애,건강안마원,수료,2020-01-21~2020-07-20,Y
584,남,신장장애,꽃동네학교,수료,2020-01-20~2020-07-19,Y
585,남,신장장애,의료법인 삼백의료재단 상주성모병원,수료,2020-01-17~2020-04-16,Y
586,남,신장장애,(사)국민장애인복지협의회,수료,2020-01-17~2020-07-16,Y
587,여,정신장애,(사)국민장애인복지협의회,수료,2020-01-17~2020-07-16,Y
588,남,자폐성장애,(주)리빙우드,수료,2020-01-17~2020-07-16,Y
589,남,시각장애,주식회사 나눔누리,수료,2020-01-14~2020-07-13,Y
590,여,시각장애,주식회사 나눔누리,수료,2020-01-14~2020-07-13,Y
591,남,시각장애,주식회사 나눔누리,수료,2020-01-14~2020-07-13,Y
592,남,신장장애,사단법인경상남도지체장애인연합회,조기수료,2020-01-08~2020-07-07,Y
593,남,신장장애,일산21세기병원,수료,2020-01-08~2020-04-07,Y
594,남,정신장애,엔에스에프,수료,2020-01-06~2020-07-05,Y
595,남,정신장애,엔에스에프,중도탈락,2020-01-06~2020-07-05,N
596,남,정신장애,엔에스에프,수료,2020-01-06~2020-07-05,Y
597,여,시각장애,엔젤안마원,조기수료,2020-01-02~2020-07-01,Y
598,여,시각장애,참조은안마원,수료,2020-01-02~2020-06-30,Y
599,남,시각장애,바른안마원,조기수료,2020-01-01~2020-06-30,Y
